names_items,prixes_items,disponbilites_items,refrences_items
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 3050 VENTUS 2X 6G OC,"1 839,000 DT",Sur commande 48h,[ARCADE-12400-6G3050-16G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 32G MSI RTX 3050 VENTUS 2X XS 8G OC,"1 859,000 DT",Sur commande 48h,[HUMMER-5500-3050-32G]
Pc de Bureau Gamer MYTEK i5 12ème Gén 16G MSI RTX 3050 VENTUS 2X XS 8G OC,"1 889,000 DT",Sur commande 48h,[HITMAN-12400-3050]
Pc de Bureau Gamer MYTEK i5 10ème Gén 16Go MSI RTX 3050 VENTUS 2X XS 8G OC,"1 899,000 DT",En stock,[NINJA-10400-3050]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI RTX3060 VENTUS 2X OC 12Go,"1 919,000 DT",Sur commande 48h,[HUMMER-4500-3060]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 32Go 500Go SSD - Noir,"1 929,000 DT",En stock,[APU-8600G-32G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go ASUS Dual RTX 3050 O8G V2,"1 949,000 DT",Sur commande 48h,[ZEUS-5500-3050]
Pc de Bureau Gamer MYTEK i5 11ème Gén 16Go MSI RTX 3050 VENTUS 2X XS 8G OC,"1 969,000 DT",En stock,[HITMAN-11400-3050]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 32Go MSI RTX3060 VENTUS 2X OC 12Go,"1 979,000 DT",Sur commande 48h,[HUMMER-4500-3060-32G]
Pc de Bureau Gamer MYTEK i5 12è Gén 32G MSI RTX 3050 VENTUS 2X XS 8G OC,"1 999,000 DT",En stock,[HITMAN-12400-3050-32G]
Pc de Bureau Gamer MYTEK i5 10ème Gén 16G MSI RTX 3060 VENTUS 2X OC 12Go,"2 049,000 DT",En stock,[HITMAN-10400-3060]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G MSI RTX3060 VENTUS 2X OC 12Go,"2 059,000 DT",En stock,[HUMMER-5500-3060]
Pc de Bureau Gamer MYTEK i5 10è Gén 32Go MSI RTX 3050 VENTUS 2X XS 8G OC,"2 059,000 DT",En stock,[NINJA-10400-3050-32G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI RTX4060 VENTUS 2X BLACK 8Go OC,"2 099,000 DT",En stock,[HUMMER-5500-4060]
Pc de Bureau Gamer MYTEK i5 11ème Gén 32Go MSI RTX 3050 VENTUS 2X XS 8G OC,"2 099,000 DT",En stock,[HITMAN-11400-3050-32G]
Pc de Bureau Gamer MYTEK i5 10è Gén 16G MSI RTX 4060 VENTUS 2X BLACK 8G OC,"2 099,000 DT",En stock,[HITMAN-10400-4060]
Pc de Bureau Gamer MYTEK i5 11è Gén 16Go MSI RTX 3060 VENTUS 2X OC 12Go,"2 129,000 DT",En stock,[HITMAN-11400-3060]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G MSI RTX 4060 VENTUS 2X WHITE 8G OC,"2 139,000 DT",Sur commande 48h,[SNOWOLF-5500-4060]
Pc de Bureau Gamer MYTEK i5 12ème Gén 16Go MSI RTX3050 VENTUS 2X XS 8G OC,"2 265,000 DT",En stock,[NINJA-12400-3050]
Pc de Bureau Gamer MYTEK i5 10è Gén 16Go MSI RTX 4060 VENTUS 2X BLACK 8Go OC,"2 149,000 DT",En stock,[PEGASUS-10600-4060-16G]
Pc de Bureau Gamer MYTEK i5 10è Gén 32G MSI RTX 3060 VENTUS 2X OC 12Go,"2 149,000 DT",En stock,[HITMAN-10400-3060-32G]
